kind,lang,source_token,source_query_text,qid,wikidata_label,wikidata_aliases_json,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
entity,eu,"""''Alvinegro""",''Alvinegro,,,[],"""Alvinegro""","""Alvinegro","""Alvinegro""",0.9,0.9524,1.0,0.9524,1.0,1.0,1.0,"""Alvinegro","""Alvinegro",mt_vote_revoted_gte_langfilter,2026-03-09T10:19:21,0.96097993850708,0.9641899466514589,0.96097993850708,madlad,pl,pl,pl,"""Alvinegro"
entity,eu,"""+90 356""",+90 356,,,[],,,,0.9,,,,,,,,+90 356,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,+90_356
entity,eu,"""-7""",-7,,,[],,,,0.9,,,,,,,,-7,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,-7
entity,eu,"""-8""",-8,,,[],,,,0.9,,,,,,,,-8,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,-8
entity,eu,"""0-374-26131-8""",0-374-26131-8,,,[],,,,0.9,,,,,,,,0-374-26131-8,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-374-26131-8
entity,eu,"""0-439-17684-0""",0-439-17684-0,,,[],,,,0.9,,,,,,,,0-439-17684-0,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-439-17684-0
entity,eu,"""0-439-17685-9""",0-439-17685-9,,,[],,,,0.9,,,,,,,,0-439-17685-9,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-439-17685-9
entity,eu,"""0-439-92550-9""",0-439-92550-9,,,[],,,,0.9,,,,,,,,0-439-92550-9,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-439-92550-9
entity,eu,"""0-670-03380-4""",0-670-03380-4,,,[],,,,0.9,,,,,,,,0-670-03380-4,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-670-03380-4
entity,eu,"""0-7156-3648-0""",0-7156-3648-0,,,[],,,,0.9,,,,,,,,0-7156-3648-0,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-7156-3648-0
entity,eu,"""0-7653-0633-6""",0-7653-0633-6,,,[],,,,0.9,,,,,,,,0-7653-0633-6,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0-7653-0633-6
entity,eu,"""0001-8392""",0001-8392,,,[],,,,0.9,,,,,,,,0001-8392,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0001-8392
entity,eu,"""0002-9327""",0002-9327,,,[],,,,0.9,,,,,,,,0002-9327,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0002-9327
entity,eu,"""0025-5858""",0025-5858,,,[],,,,0.9,,,,,,,,0025-5858,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0025-5858
entity,eu,"""0236-5294""",0236-5294,,,[],,,,0.9,,,,,,,,0236-5294,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0236-5294
entity,eu,"""0269-9370""",0269-9370,,,[],,,,0.9,,,,,,,,0269-9370,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,0269-9370
entity,eu,"""03/21""",03/21,,,[],,,,0.9,,,,,,,,03/21,passthrough_number_symbols,2026-03-05T13:05:32,,,,,und,und,und,03/21
entity,eu,"""03L/21R""",03L/21R,,,[],03L/21R,03L/21R,03L/21R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,03L/21R,03L/21R,mt_vote,2026-03-05T13:05:33,,,,,en,en,en,03L/21R
entity,eu,"""03R/21L""",03R/21L,,,[],03R/21L,03R/21L,03R/21L,0.9,1.0,1.0,1.0,1.0,1.0,1.0,03R/21L,03R/21L,mt_vote,2026-03-05T13:05:33,,,,,en,en,en,03R/21L
entity,eu,"""04/22 'Oostbaan'""",04/22 'Oostbaan',,,[],"04/22 ""Oostbaan""",04/22 'Oostbaan',04/22 'Oostbaan',0.9,0.875,0.875,1.0,0.0,0.0,1.0,04/22 'Oostbaan',04/22 'Oostbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:19:21,0.9911537170410156,1.0000001192092896,1.0000001192092896,madlad,nl,nl,nl,04/22_'Oostbaan'
entity,eu,"""0567-7920""",0567-7920,,,[],,,,0.9,,,,,,,,0567-7920,passthrough_number_symbols,2026-03-05T13:05:34,,,,,und,und,und,0567-7920
entity,eu,"""05L/23R""",05L/23R,,,[],05L/23R,05L/23R,05L/23R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,05L/23R,05L/23R,mt_vote,2026-03-05T13:05:35,,,,,en,en,en,05L/23R
entity,eu,"""06/24 'Kaagbaan'""",06/24 'Kaagbaan',,,[],"06/24 ""Kaagbaan""",06/24 'Kaagbaan',06/24 'Kaagbaan',0.9,0.875,0.875,1.0,0.0,0.0,1.0,06/24 'Kaagbaan',06/24 'Kaagbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:19:21,0.986314058303833,1.0,1.0,madlad,nl,nl,nl,06/24_'Kaagbaan'
entity,eu,"""07/25""",07/25,,,[],,,,0.9,,,,,,,,07/25,passthrough_number_symbols,2026-03-05T13:05:36,,,,,und,und,und,07/25
entity,eu,"""08/26""",08/26,,,[],,,,0.9,,,,,,,,08/26,passthrough_number_symbols,2026-03-05T13:05:36,,,,,und,und,und,08/26
entity,eu,"""09/27 'Buitenveldertbaan'""",09/27 'Buitenveldertbaan',,,[],"09/27 ""Buitenveldertbaan""",2007-09-27. ↑ (Gaztelaniaz),09/27 'Buitenveldertbaan',0.9,0.3846,0.92,0.3846,0.0,1.0,0.0,09/27 'Buitenveldertbaan',09/27 'Buitenveldertbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:19:21,0.9929040670394896,0.6111008524894714,1.0000001192092896,salamandra,nl,hu,nl,09/27_'Buitenveldertbaan'
entity,eu,"""0965-2140""",0965-2140,,,[],,,,0.9,,,,,,,,0965-2140,passthrough_number_symbols,2026-03-05T13:05:37,,,,,und,und,und,0965-2140
entity,eu,"""09L/27R""",09L/27R,,,[],09L/27R,09L/27R,09L/27R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,09L/27R,09L/27R,mt_vote,2026-03-05T13:05:37,,,,,en,en,en,09L/27R
entity,eu,"""09R/27L""",09R/27L,,,[],09R/27L,09R/27L,09R/27L,0.9,1.0,1.0,1.0,1.0,1.0,1.0,09R/27L,09R/27L,mt_vote,2026-03-05T13:05:38,,,,,en,en,en,09R/27L
entity,eu,"""1-4-2 Nakadori""",1-4-2 Nakadori,,,[],1-4-2 Nakadori,Nakadori 1-4-2,1-4-2 Nakadori,0.9,0.5714,1.0,0.5714,0.0,1.0,0.0,1-4-2 Nakadori,1-4-2 Nakadori,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:21,1.0,0.9902348518371582,1.0,nllb,es,ca,es,1-4-2_Nakadori
entity,eu,"""1-4165-2060-0""",1-4165-2060-0,,,[],,,,0.9,,,,,,,,1-4165-2060-0,passthrough_number_symbols,2026-03-05T13:05:39,,,,,und,und,und,1-4165-2060-0
entity,eu,"""1-56947-301-3""",1-56947-301-3,,,[],,,,0.9,,,,,,,,1-56947-301-3,passthrough_number_symbols,2026-03-05T13:05:39,,,,,und,und,und,1-56947-301-3
entity,eu,"""1.337""",1.337,,,[],,,,0.9,,,,,,,,1.337,passthrough_number_symbols,2026-03-05T13:05:39,,,,,und,und,und,1.337
entity,eu,"""1.524""",1.524,,,[],,,,0.9,,,,,,,,1.524,passthrough_number_symbols,2026-03-05T13:05:39,,,,,und,und,und,1.524
entity,eu,"""1/19""",1/19,,,[],,,,0.9,,,,,,,,1/19,passthrough_number_symbols,2026-03-05T13:05:39,,,,,und,und,und,1/19
entity,eu,"""100305.0""(minutes)","""100305.0""(minutes)",,,[],"""100305,0"" (minutuak)","""100305. 0"" (minutuak)","""100305.0""(minutuak)",0.9,0.9302,0.9268,0.9524,1.0,1.0,1.0,"""100305. 0"" (minutuak)","""100305. 0"" (minutuak)",mt_vote,2026-03-05T13:05:39,,,,,en,en,en,"""100305._0""_(minutuak)"
entity,eu,"""101 Ukrop Way""",101 Ukrop Way,,,[],101 Ukrop bidean.,101 Ukrop Way,101 Ukrop Way,0.9,0.7333,0.7333,1.0,0.0,0.0,1.0,101 Ukrop Way,101 Ukrop Way,mt_vote,2026-03-05T13:05:40,,,,,en,en,en,101_Ukrop_Way
entity,eu,"""1046-8188""",1046-8188,,,[],,,,0.9,,,,,,,,1046-8188,passthrough_number_symbols,2026-03-05T13:05:40,,,,,und,und,und,1046-8188
entity,eu,"""1080-6377""",1080-6377,,,[],,,,0.9,,,,,,,,1080-6377,passthrough_number_symbols,2026-03-05T13:05:40,,,,,und,und,und,1080-6377
entity,eu,"""10L/28R""",10L/28R,,,[],10L/28R,10L/28R,10L/28R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,10L/28R,10L/28R,mt_vote,2026-03-05T13:05:41,,,,,en,en,en,10L/28R
entity,eu,"""10R/28L""",10R/28L,,,[],10R/28L,10R/28L,10R/28L,0.9,1.0,1.0,1.0,1.0,1.0,1.0,10R/28L,10R/28L,mt_vote,2026-03-05T13:05:41,,,,,en,en,en,10R/28L
entity,eu,"""11/29""",11/29,,,[],,,,0.9,,,,,,,,11/29,passthrough_number_symbols,2026-03-05T13:05:41,,,,,und,und,und,11/29
entity,eu,"""110 million (dollars)""",110 million (dollars),,,[],110 milioi (dolarretan),110 milioi (dolar),110 milioi (dolar),0.9,0.878,0.878,1.0,0.0,0.0,1.0,110 milioi (dolar),110 milioi (dolar),mt_vote_revoted_gte_langfilter,2026-03-09T10:19:21,0.9450435638427734,0.9599185585975648,0.9599185585975648,madlad,it,it,it,110_milioi_(dolar)
