lang,shot_idx,align_key,split,category,triple_bucket,eid,size,num_triples,triples,reference,num_lexicalisations,lexicalisations
en,1,train|||Airport|||Id133|||1,train,Airport,1triples,Id133,1,1,"[""Andrews_County_Airport | runwayName | \""2/20\""""]",The runway name of Andrews County Airport is 2/20.,1,"[{""Id1"": ""The runway name of Andrews County Airport is 2/20.""}]"
en,2,train|||Company|||Id61|||3,train,Company,3triples,Id61,3,3,"[""Trane | foundingDate | 1913-01-01"", ""Trane | location | Ireland"", ""Trane | numberOfEmployees | 29000""]","Trane located in Ireland was founded on 01-01-1913 and has 29,000 employees.",1,"[{""Id1"": ""Trane located in Ireland was founded on 01-01-1913 and has 29,000 employees.""}]"
en,3,train|||Monument|||Id9|||7,train,Monument,7triples,Id9,7,7,"[""Azerbaijan | capital | Baku"", ""Azerbaijan | leaderTitle | Prime_Minister_of_Azerbaijan"", ""Baku_Turkish_Martyrs'_Memorial | location | Azerbaijan"", ""Baku_Turkish_Martyrs'_Memorial | nativeName | \""Türk Şehitleri Anıtı\"""", ""Azerbaijan | leader | Artur_Rasizade"", ""Baku_Turkish_Martyrs'_Memorial | designer | \""Hüseyin Bütüner and Hilmi Güner\"""", ""Azerbaijan | legislature | National_Assembly_(Azerbaijan)""]","The leader of Azerbaijan is Prime Minister Artur Rasizade and the legislature is the National Assembly. The Turk Sehitleri Aniti, usually known as the Baku Turkish Martyrs' Memorial is located in the country, where the capital city is Baku. It was designed by Huseyin Butuner and Hilmi Guner.",1,"[{""Id1"": ""The leader of Azerbaijan is Prime Minister Artur Rasizade and the legislature is the National Assembly. The Turk Sehitleri Aniti, usually known as the Baku Turkish Martyrs' Memorial is located in the country, where the capital city is Baku. It was designed by Huseyin Butuner and Hilmi Guner.""}]"
es,1,train|||Airport|||Id133|||1,train,Airport,1triples,Id133,1,1,"[""Aeropuerto_del_Condado_de_Andrews | NombreDeLaPista | 2/20""]",El nombre de la pista del Aeropuerto del Condado de Andrews es 2/20.,1,"[{""Id1"": ""El nombre de la pista del Aeropuerto del Condado de Andrews es 2/20.""}]"
es,2,train|||Company|||Id61|||3,train,Company,3triples,Id61,3,3,"[""Trane | FechaDeFundación | 01-01-1913"", ""Trane | Ubicación | isla_de_Irlanda"", ""Trane | NúmeroDeEmpleados | 29000""]","Trane, con sede en Irlanda, fue fundada el 1 de enero de 1913 y cuenta con 29.000 empleados.",1,"[{""Id1"": ""Trane, con sede en Irlanda, fue fundada el 1 de enero de 1913 y cuenta con 29.000 empleados.""}]"
es,3,train|||Monument|||Id9|||7,train,Monument,7triples,Id9,7,7,"[""Azerbaiyán | Capital | Bakú"", ""Azerbaiyán | TítuloDeLíder | primer_ministro_de_Azerbaiyán"", ""Monumento_a_los_mártires_turcos_de_Bakú | Ubicación | Azerbaiyán"", ""Monumento_a_los_mártires_turcos_de_Bakú | NombreNativo | Türk_Şehitleri_Anıtı"", ""Azerbaiyán | Líder | Artur_Rasizade"", ""Monumento_a_los_mártires_turcos_de_Bakú | Diseñador | Hüseyin_Bütüner_y_Hilmi_Güner"", ""Azerbaiyán | Legislatura | Asamblea_Nacional_de_la_República_de_Azerbaiyán""]","El líder de Azerbaiyán es el Primer Ministro Artur Rasizade y el poder legislativo es la Asamblea Nacional. El Turk Sehitleri Aniti, normalmente conocido como el Monumento a los Mártires Turcos de Bakú, se encuentra en el país, cuya capital es Bakú. Fue diseñado por Huseyin Butuner y Hilmi Guner.",1,"[{""Id1"": ""El líder de Azerbaiyán es el Primer Ministro Artur Rasizade y el poder legislativo es la Asamblea Nacional. El Turk Sehitleri Aniti, normalmente conocido como el Monumento a los Mártires Turcos de Bakú, se encuentra en el país, cuya capital es Bakú. Fue diseñado por Huseyin Butuner y Hilmi Guner.""}]"
ca,1,train|||Airport|||Id133|||1,train,Airport,1triples,Id133,1,1,"[""Aeroport_del_comtat_d'_Andrews | NomDeLaPista | 2/20""]",El nom de la pista de l'Aeroport del Comtat d'Andrews és 2/20.,1,"[{""Id1"": ""El nom de la pista de l'Aeroport del Comtat d'Andrews és 2/20.""}]"
ca,2,train|||Company|||Id61|||3,train,Company,3triples,Id61,3,3,"[""Trane | DataDeFundació | 1913-01-01"", ""Trane | Ubicació | Irlanda"", ""Trane | NombreD'Empleats | 29000""]",Trane situada a Irlanda va ser fundada el 01-01-1913 i té 29.000 empleats.,1,"[{""Id1"": ""Trane situada a Irlanda va ser fundada el 01-01-1913 i té 29.000 empleats.""}]"
ca,3,train|||Monument|||Id9|||7,train,Monument,7triples,Id9,7,7,"[""Azerbaidjan | Capital | Bakú"", ""Azerbaidjan | LíderTítol | primer_ministre_de_l'Azerbaidjan"", ""Memorial_dels_màrtirs_turcs_de_Bakú | Ubicació | Azerbaidjan"", ""Memorial_dels_màrtirs_turcs_de_Bakú | NomD'origen | Türk_Şehitleri_Anıtı"", ""Azerbaidjan | Líder | Artur_Rasizade"", ""Memorial_dels_màrtirs_turcs_de_Bakú | Dissenyador | Hüseyin_Bütüner_i_Hilmi_Güner"", ""Azerbaidjan | Legislatura | Assemblea_Nacional_(Azerbaidjan)""]","El líder de l'Azerbaidjan és el primer ministre Artur Rasizade i el poder legislatiu és l'Assemblea Nacional. El Turk Sehitleri Aniti, normalment conegut com el Memorial dels Màrtirs Turcs de Bakú es troba al país, on la capital és Bakú. Va ser dissenyat per Huseyin Butuner i Hilmi Guner.",1,"[{""Id1"": ""El líder de l'Azerbaidjan és el primer ministre Artur Rasizade i el poder legislatiu és l'Assemblea Nacional. El Turk Sehitleri Aniti, normalment conegut com el Memorial dels Màrtirs Turcs de Bakú es troba al país, on la capital és Bakú. Va ser dissenyat per Huseyin Butuner i Hilmi Guner.""}]"
gl,1,train|||Airport|||Id133|||1,train,Airport,1triples,Id133,1,1,"[""Aeroporto_do_condado_de_Andrews | NomeDaPista | 2/20""]",O nome da pista do aeroporto do condado de Andrews é 2/20.,1,"[{""Id1"": ""O nome da pista do aeroporto do condado de Andrews é 2/20.""}]"
