kind,lang,source_token,source_query_text,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
relation,gl,1stRunwayLengthFeet,1st Runway Length Feet,Duración da 1a pista: pés,Lonxitude da primeira pista en pés,1ª lonxitude da pista en pés,0.9,0.5424,0.5283,0.8065,0,0,0,Duración da 1a pista: pés,Duración da 1a pista: pés,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7422775030136108,0.7416301369667053,0.7415393590927124,nllb,gl,gl,fr,DuraciónDa1aPista:Pés
relation,gl,1stRunwayLengthMetre,1st Runway Length Metre,Duración da 1a pista Meter,Medida da lonxitude da primeira pista,1ª lonxitude da pista en metros,0.9,0.4127,0.5263,0.5588,0,0,0,1ª lonxitude da pista en metros,1ª lonxitude da pista en metros,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7557260394096375,0.7228950262069702,0.8163838982582092,salamandra,gl,gl,gl,1ªLonxitudeDaPistaEnMetros
relation,gl,1stRunwayNumber,1st Runway Number,Número da 1a pista,Número de pista 1,Número da primeira pista,0.9,0.8,0.8095,0.7317,0,0,0,Número da 1a pista,Número da 1a pista,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7721461057662964,0.7609415650367737,0.7496825456619263,nllb,gl,gl,gl,NúmeroDa1aPista
relation,gl,1stRunwaySurfaceType,1st Runway Surface Type,Tipo de superficie da 1a pista,Tipo de superficie da primeira pista,1º tipo de superficie da pista,0.9,0.8788,0.9,0.8182,0,1,0,1º tipo de superficie da pista,1º tipo de superficie da pista,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7966688871383667,0.802368700504303,0.8022870421409607,salamandra,gl,gl,gl,1ºTipoDeSuperficieDaPista
relation,gl,2ndRunwaySurfaceType,2nd Runway Surface Type,Tipo de superficie da segunda pista,Tipo de superficie da segunda pista,Tipo de superficie da segunda pista,0.9,1.0,1.0,1.0,1,1,1,Tipo de superficie da segunda pista,Tipo de superficie da segunda pista,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.8049214482307434,0.8049214482307434,0.8049214482307434,nllb,gl,gl,gl,TipoDeSuperficieDaSegundaPista
relation,gl,3rdRunwayLengthFeet,3rd Runway Length Feet,Duración da terceira pista pés,Lonxitude da terceira pista en pés,3. Lonxitude da pista en pés,0.9,0.7188,0.4828,0.8065,0,0,0,Lonxitude da terceira pista en pés,Lonxitude da terceira pista en pés,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7565871477127075,0.7639045715332031,0.7584311366081238,madlad,gl,gl,gl,LonxitudeDaTerceiraPistaEnPés
relation,gl,3rdRunwaySurfaceType,3rd Runway Surface Type,Tipo de superficie da terceira pista,Tipo de superficie da terceira pista,Tipo de superficie da terceira pista,0.9,1.0,1.0,1.0,1,1,1,Tipo de superficie da terceira pista,Tipo de superficie da terceira pista,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.81343674659729,0.81343674659729,0.81343674659729,nllb,gl,gl,gl,TipoDeSuperficieDaTerceiraPista
relation,gl,4thRunwayLengthFeet,4th Runway Length Feet,Duración da 4a pista: pés,Lonxitude da cuarta pista en pés,4. Lonxitude da pista en pés,0.9,0.5614,0.5283,0.8333,0,0,0,Lonxitude da cuarta pista en pés,Lonxitude da cuarta pista en pés,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7684396505355835,0.7686192989349365,0.765617847442627,madlad,gl,es,gl,LonxitudeDaCuartaPistaEnPés
relation,gl,4thRunwaySurfaceType,4th Runway Surface Type,4o Tipo de superficie da pista,Tipo de superficie da cuarta pista,Tipo de superficie da cuarta pista,0.9,0.8438,0.8438,1.0,0,0,1,Tipo de superficie da cuarta pista,Tipo de superficie da cuarta pista,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.8374722003936768,0.8230829238891602,0.8230829238891602,madlad,gl,es,es,TipoDeSuperficieDaCuartaPista
relation,gl,5thRunwayNumber,5th Runway Number,Número da 5a pista,Número de pista 5,Número da quinta pista,0.9,0.8,0.85,0.7179,0,0,0,Número de pista 5,Número de pista 5,mt_vote_revoted_gte_langfilter,2026-03-09T10:18:04,0.7963101863861084,0.7988501787185669,0.7677857279777527,madlad,gl,gl,pt,NúmeroDePista5
